959,39174460	963,26313990	1062,16596536	1066,03736066
957,80053691	964,76898140	1060,57066576	1067,53911025
956,18498202	966,25036076	1058,94871415	1069,01409289
954,54508632	967,70723331	1057,30016151	1070,46230849
952,88084927	969,13954739	1055,62506805	1071,88376618
951,19226324	970,54724435	1053,92350313	1073,27848423
949,47931361	971,93025845	1052,19554524	1074,64649008
947,74197860	973,28851688	1050,44128194	1075,98782021
945,98022931	974,62193965	1048,66080978	1077,30252013
944,19402961	975,93043960	1046,85423425	1078,59064423
942,38333608	977,21392224	1045,02166964	1079,85225580
940,54809793	978,47228575	1043,16323901	1081,08742682
938,68825692	979,70542084	1041,27907402	1082,29623794
936,80374726	980,91321071	1039,36931486	1083,47877831
934,89449550	982,09553089	1037,43411009	1084,63514549
932,96042043	983,25224916	1035,47361655	1085,76544528
931,00143295	984,38322542	1033,48799917	1086,86979163
929,01743596	985,48831157	1031,47743083	1087,94830644
927,00832419	986,56735137	1029,44209223	1089,00111941
924,97398407	987,62018028	1027,38217169	1090,02836790
922,91429359	988,64662533	1025,29786496	1091,03019670
920,82912210	989,64650491	1023,18937509	1092,00675790
918,71833017	990,61962866	1021,05691219	1092,95821067
916,58176938	991,56579723	1018,90069322	1093,88472107
914,41928214	992,48480211	1016,72094183	1094,78646180
912,23070148	993,37642542	1014,51788812	1095,66361206
910,01585084	994,24043971	1012,29176841	1096,51635728
907,77454384	995,07660771	1010,04282503	1097,34488889
905,50658408	995,88468212	1007,77130607	1098,14940411
